Epoch,GPU_mem,box_loss,cls_loss,dfl_loss,Instances,Precision,Recall,mAP50,mAP50-95
1,2.27G,1.239,3.195,1.182,17,0.00343,0.533,0.134,0.0604
2,2.67G,1.474,2.762,1.331,21,0.636,0.119,0.112,0.0544
3,2.67G,1.54,2.46,1.387,33,0.0835,0.183,0.0501,0.0205
4,2.67G,1.535,2.261,1.389,39,0.343,0.167,0.137,0.0691
5,2.67G,1.547,2.059,1.42,9,0.301,0.209,0.172,0.0843
6,2.68G,1.519,1.985,1.4,27,0.182,0.196,0.116,0.0581
7,2.68G,1.481,1.922,1.381,20,0.293,0.205,0.156,0.0779
8,2.68G,1.48,1.873,1.36,20,0.361,0.257,0.233,0.128
9,2.7G,1.394,1.688,1.311,14,0.402,0.309,0.286,0.152
10,2.7G,1.369,1.687,1.307,19,0.602,0.219,0.207,0.105
11,2.7G,1.372,1.635,1.29,28,0.471,0.309,0.308,0.159
12,2.7G,1.34,1.604,1.299,14,0.468,0.295,0.292,0.161
13,2.7G,1.34,1.593,1.3,31,0.413,0.212,0.214,0.117
14,2.7G,1.301,1.548,1.263,32,0.638,0.264,0.269,0.154
15,2.7G,1.25,1.433,1.226,16,0.459,0.296,0.296,0.174
16,2.7G,1.266,1.431,1.215,12,0.481,0.326,0.317,0.17
17,2.71G,1.262,1.454,1.221,15,0.55,0.324,0.354,0.204
18,2.71G,1.246,1.401,1.209,25,0.48,0.383,0.378,0.202
19,2.71G,1.201,1.38,1.191,19,0.527,0.33,0.374,0.22
20,2.71G,1.209,1.383,1.195,15,0.469,0.369,0.367,0.208
21,2.71G,1.182,1.337,1.194,21,0.48,0.312,0.324,0.188
22,2.71G,1.148,1.331,1.176,5,0.486,0.37,0.37,0.207
23,2.71G,1.182,1.32,1.197,12,0.467,0.307,0.306,0.177
24,2.72G,1.156,1.273,1.177,19,0.557,0.353,0.387,0.221
25,2.72G,1.199,1.316,1.198,19,0.507,0.381,0.412,0.247
26,2.72G,1.126,1.218,1.156,49,0.56,0.421,0.44,0.256
27,2.72G,1.145,1.211,1.16,21,0.608,0.32,0.378,0.221
28,2.72G,1.112,1.194,1.167,29,0.451,0.376,0.358,0.217
29,2.72G,1.11,1.171,1.153,14,0.514,0.425,0.432,0.254
30,2.72G,1.107,1.203,1.144,14,0.568,0.437,0.453,0.265
31,2.72G,1.114,1.198,1.142,24,0.539,0.406,0.422,0.239
32,2.72G,1.11,1.217,1.154,20,0.611,0.408,0.443,0.258
33,2.72G,1.09,1.185,1.151,26,0.627,0.42,0.45,0.272
34,2.72G,1.075,1.177,1.122,24,0.624,0.441,0.473,0.282
35,2.72G,1.071,1.1,1.125,33,0.553,0.465,0.463,0.283
36,2.72G,1.073,1.112,1.121,31,0.585,0.364,0.423,0.252
37,2.72G,1.064,1.096,1.107,13,0.547,0.44,0.43,0.271
38,2.72G,1.018,1.051,1.114,12,0.513,0.392,0.399,0.233
39,2.73G,1.048,1.057,1.112,32,0.592,0.412,0.444,0.278
40,2.73G,1.035,1.068,1.112,18,0.529,0.457,0.458,0.271
41,2.74G,1.031,1.074,1.096,16,0.707,0.448,0.53,0.327
42,2.74G,1.013,1.021,1.098,28,0.674,0.461,0.504,0.314
43,2.74G,1.003,1.015,1.087,24,0.608,0.456,0.484,0.297
44,2.74G,0.9898,1.001,1.088,32,0.535,0.441,0.451,0.28
45,2.74G,1.015,1.014,1.093,27,0.68,0.464,0.52,0.332
46,2.74G,0.9739,0.9696,1.068,27,0.657,0.421,0.488,0.309
47,2.74G,0.9952,1.007,1.078,26,0.595,0.473,0.483,0.297
48,2.74G,0.9944,0.987,1.069,14,0.621,0.481,0.519,0.322
49,2.74G,0.9779,0.9427,1.069,26,0.591,0.456,0.481,0.303
50,2.74G,0.9411,0.8938,1.043,17,0.697,0.429,0.489,0.317
51,2.74G,0.9404,0.9172,1.053,14,0.691,0.428,0.503,0.311
52,2.74G,0.9197,0.8945,1.038,23,0.605,0.434,0.47,0.297
53,2.74G,0.967,0.9431,1.064,16,0.709,0.459,0.538,0.334
54,2.74G,0.9343,0.9155,1.045,31,0.668,0.42,0.496,0.311
55,2.74G,0.9329,0.908,1.05,14,0.603,0.508,0.521,0.331
56,2.74G,0.9361,0.9067,1.053,17,0.704,0.484,0.54,0.34
57,2.74G,0.9069,0.8788,1.038,26,0.662,0.468,0.51,0.324
58,2.74G,0.9354,0.8924,1.04,28,0.691,0.507,0.545,0.354
59,2.74G,0.9173,0.8671,1.034,30,0.615,0.458,0.481,0.318
60,2.74G,0.8835,0.8316,1.019,21,0.649,0.469,0.519,0.338
61,2.74G,0.883,0.8317,1.019,22,0.715,0.481,0.547,0.353
62,2.74G,0.8767,0.8205,1.014,17,0.677,0.481,0.528,0.345
63,2.74G,0.8979,0.8675,1.043,27,0.718,0.484,0.545,0.331
64,2.74G,0.8919,0.8145,1.022,19,0.694,0.464,0.502,0.319
65,2.74G,0.8509,0.8212,1.013,24,0.664,0.481,0.526,0.343
66,2.74G,0.8651,0.806,1.01,13,0.688,0.497,0.545,0.354
67,2.74G,0.8614,0.7659,1.014,24,0.671,0.53,0.566,0.363
68,2.74G,0.8599,0.7817,1.014,14,0.622,0.52,0.541,0.35
69,2.74G,0.8539,0.7866,1.015,25,0.679,0.49,0.542,0.341
70,2.74G,0.8604,0.7874,1.016,19,0.688,0.487,0.535,0.339
71,2.74G,0.8358,0.7754,1.011,14,0.698,0.477,0.548,0.353
72,2.74G,0.8258,0.7368,0.9982,18,0.743,0.506,0.566,0.368
73,2.74G,0.8611,0.7648,1.017,26,0.719,0.46,0.526,0.341
74,2.74G,0.8532,0.7556,1.009,20,0.682,0.521,0.574,0.369
75,2.74G,0.8155,0.7275,0.9974,18,0.619,0.49,0.53,0.345
76,2.74G,0.8034,0.7372,0.9831,12,0.723,0.521,0.563,0.363
77,2.74G,0.7816,0.6991,0.9778,19,0.653,0.535,0.559,0.367
78,2.74G,0.8238,0.7121,0.9977,17,0.717,0.487,0.558,0.363
79,2.74G,0.8048,0.7174,0.9878,20,0.643,0.544,0.565,0.369
80,2.74G,0.7573,0.6933,0.9645,15,0.667,0.517,0.553,0.365
81,2.74G,0.7524,0.6756,0.9711,23,0.715,0.498,0.566,0.369
82,2.74G,0.7831,0.7016,0.9814,23,0.713,0.498,0.548,0.36
83,2.74G,0.7702,0.6892,0.9813,12,0.669,0.504,0.545,0.356
84,2.74G,0.7831,0.6906,0.9773,38,0.706,0.511,0.569,0.371
85,2.74G,0.768,0.6744,0.9678,17,0.728,0.52,0.567,0.371
86,2.74G,0.7556,0.6304,0.9701,28,0.771,0.507,0.584,0.38
87,2.74G,0.7527,0.6441,0.9636,21,0.759,0.513,0.574,0.381
88,2.74G,0.7369,0.643,0.9652,30,0.76,0.474,0.558,0.369
89,2.74G,0.7547,0.6592,0.9648,34,0.797,0.484,0.588,0.377
90,2.74G,0.7362,0.6354,0.9523,24,0.793,0.48,0.574,0.37
91,2.74G,0.7033,0.5896,0.9321,15,0.751,0.505,0.578,0.368
92,2.74G,0.6783,0.551,0.9252,11,0.729,0.532,0.588,0.377
93,2.74G,0.6686,0.5492,0.9235,16,0.757,0.499,0.578,0.378
94,2.74G,0.6823,0.5473,0.9276,14,0.779,0.492,0.573,0.365
95,2.74G,0.6603,0.5329,0.9144,9,0.759,0.494,0.569,0.368
96,2.74G,0.6662,0.5402,0.9305,13,0.772,0.484,0.569,0.372
97,2.74G,0.664,0.517,0.9256,14,0.775,0.496,0.578,0.376
98,2.74G,0.6355,0.5104,0.9037,17,0.748,0.511,0.582,0.377
99,2.74G,0.6539,0.5164,0.9161,17,0.777,0.495,0.578,0.381
100,2.74G,0.6553,0.5182,0.9071,14,0.795,0.489,0.578,0.383
[cite_start]``` [cite: 414-815]
